CBSA,CBSA Code,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI
"Rockland, ME",40500,148,142,6,0,0,0,0,71
"Rocky Mount, NC",40580,261,247,14,0,0,0,0,94
"Rome, GA",40660,274,246,28,0,0,0,0,80
"Roseburg, OR",40700,91,86,5,0,0,0,0,57
"Roswell, NM",40740,20,20,0,0,0,0,0,40
"Ruidoso, NM",40760,17,17,0,0,0,0,0,15
"Rutland, VT",40860,183,163,20,0,0,0,0,81
"Sacramento--Roseville--Arden-Arcade, CA",40900,273,148,108,8,8,1,0,222
"Salem, OH",41400,273,273,0,0,0,0,0,31
"Salem, OR",41420,152,143,9,0,0,0,0,77
"Salinas, CA",41500,183,172,11,0,0,0,0,83
"Salisbury, MD-DE",41540,182,171,11,0,0,0,0,74
"Salt Lake City, UT",41620,306,157,129,18,2,0,0,194
"San Antonio-New Braunfels, TX",41700,183,97,82,3,1,0,0,158
"San Diego-Carlsbad, CA",41740,214,67,138,7,2,0,0,154
"San Francisco-Oakland-Hayward, CA",41860,215,146,61,3,5,0,0,174
"San Jose-Sunnyvale-Santa Clara, CA",41940,245,196,42,5,2,0,0,163
"San Juan-Carolina-Caguas, PR",41980,274,254,11,7,1,0,1,336
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,182,132,50,0,0,0,0,93
"Sandpoint, ID",41760,182,179,3,0,0,0,0,59
"Santa Cruz-Watsonville, CA",42100,182,181,1,0,0,0,0,54
"Santa Fe, NM",42140,272,225,47,0,0,0,0,90
"Santa Maria-Santa Barbara, CA",42200,245,218,27,0,0,0,0,93
"Santa Rosa, CA",42220,245,233,12,0,0,0,0,97
"Savannah, GA",42340,274,239,33,2,0,0,0,131
"Sayre, PA",42380,241,230,11,0,0,0,0,73
"Scottsbluff, NE",42420,209,155,52,2,0,0,0,122
"Scranton--Wilkes-Barre--Hazleton, PA",42540,245,223,22,0,0,0,0,69
"Seattle-Tacoma-Bellevue, WA",42660,245,198,44,2,1,0,0,154
"Sebastian-Vero Beach, FL",42680,238,224,14,0,0,0,0,87
"Sebring, FL",42700,176,163,13,0,0,0,0,74
"Seneca, SC",42860,20,20,0,0,0,0,0,0
"Sevierville, TN",42940,243,223,19,1,0,0,0,105
